Concept,Sources
"biomarkers:Gene products that are affected by disease-specific pathomechanisms or treatment, serving as indicators of rheumatoid arthritis (RA) severity and progression.","Gene products as biomarkers, which are affected by disease-specific pathomechanisms or by treatment, are of diagnostic importance. Many genes found differentially expressed in tissues are elevated as part of the infiltration, while only a smaller fraction becomes regulated upon inflammation. (https://typeset.io/papers/the-genes-behind-rheumatology-eid1h7rbfl)"
"MRI synovitis score:The MRI synovitis score is a specific measure of inflammatory activity in rheumatoid arthritis (RA) that correlates with clinical and laboratory measures of disease activity, making it a potential clinical biomarker for assessing RA severity and progression.","MRI synovitis score correlated with clinical and laboratory measures of disease activity – DAS 28 (r=0,37, p=0,001), CRP(r=0,30, p=0,001), ESR (r=0,42, p=0,001), HAQ (r=0,24, p=0,001). MRI signs may be used as additional and independent measures of inflammatory activity (particularly synovitis score) and severity of RA (https://typeset.io/papers/znachenie-magnitno-rezonansnoi-tomografii-dlia-otsenki-52pmeejh5l)"
"DAS 28:DAS 28 is a clinical measure that assesses disease activity in RA, and its correlation with MRI findings indicates its relevance as a biomarker for evaluating the severity and progression of the disease.","To assess possibility of magnetic resonance image (MRI) application for rheumatoid arthritis (RA) activity and severity assessment.Material and methods. MRI signs may be used as additional and independent measures of inflammatory activity (particularly synovitis score) and severity of RA (https://typeset.io/papers/znachenie-magnitno-rezonansnoi-tomografii-dlia-otsenki-52pmeejh5l)"
"CRP:C-reactive protein (CRP) is an acute phase marker that correlates with MRI synovitis scores and other clinical measures, serving as a clinical biomarker for inflammation and disease activity in RA.","MRI signs may be used as additional and independent measures of inflammatory activity (particularly synovitis score) and severity of RA MRI synovitis score correlated with clinical and laboratory measures of disease activity – DAS 28 (r=0,37, p=0,001), CRP(r=0,30, p=0,001), ESR (r=0,42, p=0,001), HAQ (r=0,24, p=0,001). (https://typeset.io/papers/znachenie-magnitno-rezonansnoi-tomografii-dlia-otsenki-52pmeejh5l)"
"ESR:Erythrocyte sedimentation rate (ESR) is another laboratory measure that shows correlation with MRI signs of bone marrow edema and the presence of erosions, indicating its utility as a biomarker for RA severity.","Weak correlation was revealed between ESR and presence of erosions (r=0,29), CRP, ESR and MRI signs of bone marrow edema (r=0,27, p=0,005 and r=0,29, p=0,002 respectively). (https://typeset.io/papers/znachenie-magnitno-rezonansnoi-tomografii-dlia-otsenki-52pmeejh5l)"
"IL-6:Interleukin-6 (IL-6) is another clinical biomarker associated with rheumatoid arthritis, reflecting the inflammatory processes involved in the disease and serving as an indicator of disease progression.","Rheumatoid arthritis(RA) is a representative autoimmune disease characterized by systemic, chronic, destructive inflammatory synovitis and multiple organ manifestations, resulting in severe disability and mortality rates. The accumulation of inflammatory cells, the self-perpetuation of inflammation and induction and/or activation of osteoclasts lead to cartilage and bone destruction and multiple organ manifestations. (https://typeset.io/papers/pathological-mechanisms-in-rheumatoid-arthritis-3rfpp5w0fc)"
"rheumatoid factors:Autoantibodies detected in 80% of RA patients, serving as a clinical biomarker for disease presence and potentially severity.","Autoantibodies against immunoglobulins, so called rheumatoid factors, are detected in 80% of the patients. Rheumatoid arthritis (RA) is a chronic systemic inflammatory disease of the connective tissue preferentially involving joints. (https://typeset.io/papers/pathology-and-progression-of-intra-articular-inflammation-in-70na9qij87)"
"HLA-DR4:An HLA type associated with T cell rich synovial tissue in RA, indicating a higher aggressiveness of the disease and serving as a potential biomarker for disease progression.","T cell rich synovial tissue is positive for HLA-DR4 in 70% of the cases. The T cell rich type shows a high aggressiveness. Rheumatoid arthritis (RA) is a chronic systemic inflammatory disease of the connective tissue preferentially involving joints. (https://typeset.io/papers/pathology-and-progression-of-intra-articular-inflammation-in-70na9qij87)"
"proinflammatory cytokines:Molecules induced by cellular interactions in RA, which can serve as indicators of inflammation severity and disease progression.","Cellular interactions induce the expression of proinflammatory cytokines and growth factors, the so called pannus is formed. Macrophages and CD4+ cells associated via MHC class II molecules play a central role in the pathogenesis of RA. (https://typeset.io/papers/pathology-and-progression-of-intra-articular-inflammation-in-70na9qij87)"
"Clinical Biomarkers for RA:Clinical biomarkers such as C-Reactive Protein (CRP) and Erythrocyte Sedimentation Rate (ESR) are used to assess inflammation and disease activity in rheumatoid arthritis patients.","Collected by SciSpace models from web sources"
